Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,-9999
139,Kyle Van Noy,MIA,29,ROLB/RIL,14,13,0,24,21,87.50%,201,9.6,8.4,0,101.6,3.8,67,134,112,8,4,6,18,69,12,14.80%,VanNKy00
140,Damien Wilson,KAN,27,MLB,13,13,0,30,23,76.70%,239,10.4,8,1,110.3,3.2,62,177,38,0,0,0,0,73,7,8.80%,WilsDa02
141,Jayon Brown,TEN,25,RILB,10,10,1,58,42,72.40%,436,10.4,7.5,5,115.3,3.9,143,293,30,2,1,1,4,76,7,8.40%,BrowJa06
142,Cole Holcomb,WAS,24,LLB,11,10,1,34,21,61.80%,111,5.3,3.3,1,64.7,4.2,39,72,34,1,1,2.5,5,72,9,11.10%,HolcCo00
143,Kevin King,GNB,25,RCB,11,11,0,57,36,63.20%,488,13.6,8.6,1,96.2,10.1,321,167,1,0,1,0,1,57,12,17.40%,KingKe01
144,Devin McCourty,NWE,33,FS,16,16,2,28,21,75.00%,291,13.9,10.4,3,113.8,11.3,225,66,10,0,0,0,0,68,8,10.50%,McCoDe99
145,Amani Oruwariye,DET,24,RCB,16,15,1,86,51,59.30%,809,15.9,9.4,3,97.5,11.8,474,335,2,0,0,0,0,53,12,18.50%,OruwAm00
146,Jimmie Ward,SFO,29,FS,14,14,0,49,34,69.40%,380,11.2,7.8,2,105.8,7.5,183,197,18,2,1,0,3,73,2,2.70%,WardJi01
147,Jarrod Wilson,JAX,26,FS,12,12,1,26,20,76.90%,218,10.9,8.4,0,85.1,8,142,76,11,0,0,0,0,69,8,10.40%,WilsJa00
148,James Bradberry*,NYG,27,LCB,15,15,3,91,56,61.50%,587,10.5,6.5,4,81.2,9.5,391,196,5,0,0,0,0,54,9,14.30%,BradJa00
149,Joe Haden,PIT,31,LCB,14,14,2,79,40,50.60%,559,14,7.1,3,75.9,13.2,445,114,0,0,0,0,0,52,9,14.80%,HadeJo99
150,Erik Harris,LVR,30,FS,14,12,0,31,18,58.10%,418,23.2,13.5,2,124.1,14.1,277,141,11,0,1,0,1,61,13,17.60%,HarrEr00
151,Anthony Hitchens,KAN,28,LLB,14,14,0,31,24,77.40%,218,9.1,7,1,106.7,4.3,75,143,33,2,4,0,6,78,4,4.90%,HitcAn00
152,Jackrabbit Jenkins,NOR,32,LCB,13,13,3,80,47,58.80%,651,13.9,8.1,3,81.8,13.4,468,183,0,0,0,0,0,55,4,6.80%,JenkJa03
153,Micah Kiser,LAR,25,LILB,9,9,0,50,31,62.00%,284,9.2,5.7,3,97.4,3.2,103,181,30,1,1,0,2,77,10,11.50%,KiseMi00
154,Tre'Davious White*,BUF,25,LCB/RCB,14,14,3,65,37,56.90%,454,12.3,7,4,79.9,9.1,325,129,10,0,1,1.5,4,57,7,10.90%,WhitTr01
155,Shaquil Barrett,TAM,28,ROLB,15,15,0,23,19,82.60%,153,8.1,6.7,0,94.4,3.1,66,87,121,24,8,8,42,57,6,9.50%,BarrSh00
156,Ronald Darby,WAS,26,RCB/LCB,16,16,0,98,53,54.10%,715,13.5,7.3,1,81,12.9,537,178,5,0,0,0,0,55,6,9.80%,DarbRo00
157,Kyle Dugger,NWE,24,DB,14,7,0,33,24,72.70%,237,9.9,7.2,0,92.6,5.7,122,115,10,1,0,0,1,64,7,9.90%,DuggKy00
